symbol,company,Business Content
CSPI,CSP Inc,IT統合ソリューションやクラスタコンピュータシステムの開発、マーケティングを行う米国の情報技術企業
CSSE,Chicken Soup For The Soul Entertainment Inc,テレビ番組やオンラインビデオ番組の制作会社
CSTE,Caesarstone Ltd ,石英表面処理メーカー。調理台、化粧台、壁板、保護板、床タイル、床・階段などその他の室内表面の石英処理を手掛ける。住宅建築・改装市場に製品を提供。
CSTL,Castle Biosciences Inc,ゲノム情報を利用した皮膚癌向けの診療方法を提供する米国の会社
CSV,Carriage Services Inc,米国の葬儀会社
CSWI,CSW Industrials Inc,工業化学品を製造、販売している会社
CSX,CSX,国際的運送会社
CTAS,Cintas,業務用制服会社
CTBI,Community Trust Bancorp Inc,銀行持株会社
CTCX,Carmell Corporation,再生医療を促進させる生体材料を開発
CTGO,Contango ORE Inc,米国で金および関連鉱物の探鉱に従事。
CTHR,Charles &amp; Colvard  Ltd,宝石メーカー
CTKB,Cytek Biosciences Inc,細胞分析ソリューションを提供。
CTLP,Cantaloupe Inc,ソフトウエア開発・決済会社。小売市場向けに無人のエンドツーエンドの技術ソリューションを提供する。
CTLT,Catalent,薬品、生物製剤、大衆薬の配送技術および開発ソリューションを提供する会社
CTMX,CytomX Therapeutics Inc,腫瘍治療に注力しているバイオ医薬品会社。
CTOS,Custom Truck One Source Inc,電気事業、通信、鉄道市場向けの特殊レンタル機器を提供。
CTRA,Coterra Energy Inc,独立系石油・ガス会社
CTRM,Castor Maritime Inc,キプロスの海運会社。
CTRN,Citi Trends Inc,米国のディスカウント衣料品店
CTS,CTS Corp,電子部品とセンサーのメーカー及び電子装置製造サービスの提供をしている会社
CTSH,Cognizant Technology Solutions A,カスタムITコンサルタント・テクノロジーサービス会社
CTSO,Cytosorbents Corp,免疫療法を専門とする企業
CTV,Innovid Corp,TV広告向けのプラットフォームを提供する会社。
CTVA,Corteva Inc,大豆などの農産物の種などを提供している会社。
CTXR,Citius Pharmaceuticals Inc,米国の特殊医薬品メーカー
CUBI,Customers Bancorp Inc,ペンシルベニア州全域で事業を展開する銀行。
CUE,Cue Biopharma Inc,米国のバイオ医薬品企業
CULL,Cullman Bancorp Inc,ローン関連事業の金融持株会社。
CULP,Culp Inc,主に布張り家具の製造に使う張り生地の製造･調達･市販に従事している会社
CURI,CuriosityStream Inc,メディアエンターテイメント企業。ドキュメンタリー、テレビ番組、ショートコンテンツなどのビデオ番組を加入者に提供。
CURV,Torrid Holdings Inc,子会社を通じ、プラスサイズのトップス、ショートパンツ、スカート、ジーンズなどのアパレル製品を提供。
CUTR,Cutera Inc,医療機器会社
CVAC,CureVac NV,バイオ医薬品関連企業。
CVBF,CVB Financial,銀行持株会社
CVCO,Cavco Industries Inc,米国のプレハブ住宅を製造・販売している会社
CVE,Cenovus Energy,カナダで原油の生産・精製に従事
CVEO,Civeo Corp,カナダのオイルサンドやオーストラリアの天然資源地域で労働者向け宿泊施設を提供している企業
CVGI,Commercial Vehicle Group Inc,車両部品会社
CVGW,Calavo Growers Inc,付加価値のあるフレッシュフードを提供している会社
CVI,CVR Energy Inc,独立系精製業・輸送燃料販売会社。
CVII,Churchill Capital Corp7 A,ブランクチェックカンパニー。
CVLG,Covenant Logistics Group Inc,冷凍食品等を対象に、温度制御輸送サービスを手掛けるトラック輸送会社
CVLT,Commvault Systems,データ・情報管理ソフトウエア・アプリケーションを開発、販売
CVLY,Codorus Valley Bancorp Inc,銀行持株会社
CVM,CEL SCI Corp,バイオテクノロジー会社
CVNA,Carvana,中古車購入のためのeコマースプラットフォームの運営をしている会社
CVR,Chicago Rivet &amp; Machine Co,留め具を製造している会社
CVRX,CVRx Inc,高血圧症や心不全の治療のための移植可能なデバイスの技術を専門とした医療機器の開発・製造に従事。高血圧や心不全の治療のために、体内の血流調節システムを作動させる埋め込み型機器の技術に特化しています。
CVS,CVS Health,ドラッグストアチェーンを全米で展開
CVU,CPI Aerostructures Inc,米国軍隊用の構造航空機部品の受託生産をしている会社
CVV,CVD Equipment Corporation,電子材料部品などを製造する会社。
CVX,Chevron,米国石油大手
CW,Curtiss Wright Corporation,様々な産業向けに技術サービスを提供する精密部品とシステムの設計、製造、整備会社。
CWAN,Clearwater Analytics Holdings,投資会計業務を簡素化するクラウドネイティブソフトウェアを開発。
CWBC,Community West Bancshares,中小企業や世帯向けの融資や預金などの銀行商品や金融商品の提供をしている米国の銀行持株会社
CWCO,Consolidated Water Co Ltd,海水淡水化プラントを開発、運営しているケイマン籍の会社
CWEN,Clearway Energy Inc C,再生･伝統発電と暖房インフラ資産を運営している会社
CWH,Caming World Holdings Inc A,子会社を通じて、新型と中古の旅行用トレーラー、トレーラーハウス、衛星放送受信機、発電機、およびキャンピングカー用家電製品などレクリエーショナルビークルと付属品の小売販売を手掛けている持株会社。
CWK,Cushman And Wakefield PLC,米国の不動産サービスプロバイダー
CWST,Casella Waste Systems Inc A,米国の廃棄物処理会社
CWT,California Water Service Group,上水道サービスを提供している複数の水道事業持株会社
CXAI,CXApp Inc A,職場の技術スタックのサービス、特徴、機能をアプリに統合するプラットフォーム
CXDO,Crexendo Inc,米国のクラウド通信サービスのプロバイダ
CXM,Sprinklr Inc A,カスタマーエクスペリエンス管理プラットフォームである「Sprinklr」を提供。
CXT,Crane NXT Co,産業用機器メーカー。
CXW,Corecivic Inc ,勾留、居住再入国施設を提供し、米国内で刑務所を運営。
CYAN,Cyanotech Corp,米国の自然食品会社
CYBN,Cybin Inc,精神疾患向けの治療法を開発する会社。
CYBR,CyberArk Software,サイバー攻撃等から企業の重要な特権アカウントの管理などITセキュリティソリューションを提供する企業
CYCC,Cyclacel Pharmaceuticals Inc,開発段階にあるバイオ製薬企業
CYCN,Cyclerion Therapeutics Inc,臨床段階のバイオ医薬品会社
CYD,China Yuchai International Limited,自動車・自動車関連を手掛けるシンガポールに本社を置くバミューダ籍の持株会社
CYH,Community Health Systems,主要都市部に所有・運営する病院を通じてヘルスケア・サービスを提供
CYN,CYNGN Inc,自動運転車の産業用途に取り組むことに焦点を当てる自動運転車テクノロジー企業。
CYRX,CryoPort,梱包システムメーカー。
CYTH,Cyclo Therapeutics  Inc,バイオテクノロジー企業
CYTK,Cytokinetics Inc,心不全治療を適応とする医薬品薬候補の発見、開発、商業化に従事しているバイオ製薬会社
CYTO,Altamira Therapeutics Ltd,内耳疾患用医薬品のスイスに本社を置くバミューダ籍の開発会社
CZFS,Citizens Financial Services Inc,金融サービスを提供する銀行
CZNC,Citizens &amp; Northern Corp,米国の銀行持株会社
CZOO,Cazoo Group Ltd,自動車販売会社。
CZR,Caesars Entertainment Corporation,オンラインゲーム事業も保有し、英国では現金を使ったカジノとポーカー、その他の地域では娯楽用ゲームも提供する。
CZWI,Citizens Community Bancorp Inc WI,米国の貯蓄貸付持株会社
D,Dominion Energy,アメリカで送電、電力供給を行う総合電力持株会社
DAC,Danaos Corporation,コンテナ船の運営を通して国際的な海上輸送サービスを提供している企業
DAIO,Data IO,米国の電子機器メーカー向けプログラム・システム・メーカー。
DAKT,Daktronics,電子機器装置・部品の米国サプライヤー企業。
DAL,Delta Air Lines,航空会社
DALN,DallasNews Corp A,米国の日刊紙出版会社。
DAN,Dana,自動車および工業市場を対象とした部品・システムの設計、製造、および販売に従事する自動車部品メーカー。
DAR,Darling Ingredients,米国の栄養成分開発メーカー。
DARE,Dare Bioscience,避妊、膣健康、疼痛、および産婦人科製品を手掛けるヘルスケア会社。
DASH,DoorDash Inc A,アプリを利用したフードデリバリーサービスを提供している会社
DATS,DatChat Inc,コミュニティソフトウエアを提供する会社。
DAVE,Dave Inc,モバイルソフトウェアを開発する米国企業
DAWN,Day One Biopharmaceuticals Inc,臨床段階のバイオ医薬品会社。
DAY,Dayforce Inc,1992年設立、人事関連のソフトウェアを開発する会社。米国、カナダ、ユーロ圏とモーリシャスで事業を展開している。
DB,Deutsche Bank,ドイツを代表する総合金融サービス企業
DBGI,Digital Brands Group Inc,卸売り及び直接販売チャネルを通じて多様なアパレルを提供
DBI,Designer Brands,米国でブランド靴の小売店を運営
DBX,Dropbox A,ファイル、写真、動画、音楽、スプレッドシートなどを保管・共有できるプラットフォームを提供する会社。
DCBO,Docebo Inc,クラウドベースの学習プラットフォームを提供するカナダの企業
DCGO,DocGo Inc,米国および英国の様々な大都市の自宅、職場等に、医療輸送およびモバイルサービスの対面医療を直接提供。
DCI,Donaldson,フィルターメーカー
DCO,Ducommun,民間および軍用航空機､宇宙計画分野を中心に、各種部品の製造・組立を手掛ける航空部品メーカー。
DCOM,Dime Community Bancshares,銀行持株会社。
DCPH,Deciphera Pharmaceuticals Inc,臨床段階でがん治療の反応速度を制限する薬剤耐性のメカニズムを研究し、新薬の開発に従事している米国のバイオ医薬品企業。
DCRD,Decarbonization Plus Acquisition Corp4 A,ブランクチェックカンパニー。
DCTH,Delcath Systems Inc,開発段階のスペシャリティ医薬品・医療機器会社
DD,DuPont de Nemours,総合化学大手
DDD,3D Systems,3Dプリンタメーカー
DDOG,Datadog Inc A,クラウドベースのデータ分析ソフトウェアを提供している会社。
DDS,Dillard’s Inc A,米国の南西部、南東部、中西部を中心に事業を展開している百貨店。
DE,Deere,世界的な農機具メーカー
DECK,Deckers Outdoor,アウトドアやスポーツ用のシューズ・アクセサリーのメーカー
DELL,Dell Technologies,コンピューター製品を提供している会社
DENN,Denny's,ファミリーレストランの直営およびフランチャイズ形式で運営。
DESP,Despegar.com Corp,アルゼンチンのオンライン旅行会社
DFH,Dream Finders Homes  Inc A,住宅の設計、建設、販売を行う米国の企業
DFIN,Donnelley Financial Solutions Inc,米国の金融ビジネス・サービス企業
DFLI,Dragonfly Energy Holdings Corp,リチウムイオン電池の製造と蓄エネルギーを改善する技術を開発。
DFS,Discover Financial Service,米国第4位のクレジットカード会社
DG,Dollar General,ディスカウントの小売ストアチェーン
DGHI,Digihost Technology Inc,カナダの暗号資産関連の会社。
DGICA,Donegal Group Inc A,米国の保険持株会社
DGICB,Donegal Group Inc,保険会社。
DGII,Digi International Inc,世界各地の鉄道・エネルギー・産業セクター向けに事業を展開する通信ソフトウエア会社。
DGLY,Digital Ally,監視カメラなどを製造するデジタル・セキュリティー製品メーカー
DGX,Quest Diagnostics,診断用検査、情報、サービスなどを提供する会社
DH,Definitive Health,ヘルスケア分析やデータ管理など、ヘルスケアの商業的インテリジェンス・ソリューションを提供。
DHAC,Digital Health Acquisition Corp,ブランクチェックカンパニー。
DHAI,DIH Holdings US Inc A,障害者向けのロボットおよびVRテクノロジーを開発
DHI,D.R. Horton,住宅建築・販売会社
DHIL,Diamond Hill Investment Group Inc,米国の投資顧問会社
DHR,Danaher,専門器具メーカー
DHT,DHT Holdings Inc,世界各地の石油会社に対し、原油タンカーによる運輸サービスを提供するマーシャル諸島籍の独立系原油タンカー会社。
DHX,DHI Group Inc,求人情報、求職情報の投稿を可能にする求人パッケージを提供するほか、インターネット経由で専門家を養成する情報技術サービス会社。
DIBS,1stdibscom Inc ,デザイン愛好家と家具、室内装飾、アート等の売り手やメーカーとつなぐためのオンラインマーケットプレイスを提供。
DIN,Dine Brands Global Inc,レストラン経営会社。
DINO,HF Sinclair Corp,石油の精製・販売に従事
DIOD,Diodes Inc,ディスクリート（単機能）、ロジック、アナログの半導体部品メーカー。
DIS,The Walt Disney,娯楽サービス・メディア大手
DIT,AMCON Distributing Company,食品小売店会社を運営している企業
DJCO,Daily Journal Corp,新聞、ウェブサイト、雑誌で「California Lawyer」を出版している出版社
DJT,Trump Media &amp; Technology Group Corp,ソーシャル ネットワーキング サービスを提供している企業。
DK,Delek US Holdings Inc,子会社を通じて、石油精製、物流、およびガソリンスタンドでの小売業に従事している持株会社。
DKNG,DraftKings Inc A,eスポーツやオンラインカジノを提供している米国の企業
DKS,Dick's Sporting Goods A,スポーツ用品販売店を展開
DLA,Delta Apparel Inc,アパレルデザイン、マーケティング、製造を行う会社
DLB,Dolby Laboratories A,音響技術開発会社
DLHC,DLH Holdings Corp,米国のサポートサービス会社
DLO,Dlocal Ltd/Uruguay,決済プラットフォームを提供。
DLPN,Dolphin Entertainment  Inc,エンターテイメントマーケティング及び制作会社
DLTH,Duluth Holdings Inc B,アパレル製品のデザイン・小売会社
DLTR,Dollar Tree,1ドルショップチェーンを運営
DLX,Deluxe Corp,小切手印刷および関連ビジネスサービス会社。
DM,Desktop Metal Inc A,最終用途部品の製造に焦点を合わせた積層造形技術を提供。
DMAC,DiaMedica Therapeutics Inc,脳卒中や腎臓病の治療薬を開発する会社。
DMRC,Digimarc Corporation,技術サービス会社。ソリューション、知的所有権ライセンス、および開発サービスを提供。
DMTK,DermTech Inc,皮膚がんや炎症性疾患の早期発見用医薬品を提供
DNA,Ginkgo Bioworks Holdings Inc A, 新規治療薬、食品成分、石油由来の化学物質などの製品を生物学的に生産するための細胞プログラミング用プラットフォームを開発。
DNAB,Social Capital Suvretta Holdings Corp2 A,ブランクチェックカンパニー。
DNB,Dun &amp; Bradstreet Holdings Inc,世界中の企業情報を提供する米国大手のデータ会社
DNLI,Denali Therapeutics Inc,アルツハイマー病、パーキンソン病、筋萎縮性側索硬化症（ALS)などに代表される神経変性疾患に対する治療薬の発見・開発に従事する米国のバイオ医薬品会社。
DNMR,Danimer Scientific  Inc,生分解性プラスチック製品を製造する企業
DNN,Denison Mines Corp,ウラン鉱山の買収、探査およびウランの抽出、加工、販売事業に従事している会社
DNOW,DNOW Inc,資源会社向けに掘削機器やメンテナンス用品を販売
DNTH,Dianthus Therapeutics Inc,米国の臨床段階のバイオテクノロジー会社
DNUT,Krispy Kreme Inc,アメリカのドーナツ会社。ドーナツと関連食品を販売する小売店を所有、運営、フランチャイズ。
DOCN,Digitalocean Holdings Inc ,データセンターの運営・提供をしている会社
DOCS,Doximity Inc,オンラインヘルスケアリソースとインタラクティブなプラットフォームを開発。ドクシミティーのメンバーは、同僚との連携や、患者へのケア、遠隔での患者訪問を行うことができます。
DOCU,DocuSign,米国の電子署名サービスとデジタル・トランザクション・マネジメントのプラットフォームを提供する会社。
DOLE,Dole PLC,新鮮な果物、野菜、食品を提供。
DOMA,Doma Holdings Inc ,不動産取引ソリューションを開発する。
DOMH,Dominari Holdings Inc,抗がん剤関連の治療薬を開発する製薬会社。
DOMO,Domo B,米国のIT・ソフトウェア企業。
DOOO,BRP Inc,マリンスポーツ等の製品を製造する会社。
DOOR,Masonite International Corporation,カナダのドア製造持株会社
DORM,Dorman Products Inc,自動車・大型交換部品、締め金具、空気サスペンション、リモートキーレスエントリー、ウインドウレギュレーター、ドアロック作動装置、装填ナックル、その他の製品を販売する自動車用品・家庭用金物類販売会社。
DOUG,Douglas Elliman Inc,不動産関連会社
DOV,Dover,各種専門工業製品と製造機器の メーカー
DOW,Dow Inc,化学製品を製造している化学品メーカー。
DOX,Amdocs Limited,有料テレビなどのサービスプロバイダー向けのソフトウェアとサービスを提供している企業
DPCS,DP Cap Acquisition Corp1 A,ブランクチェックカンパニー。
DPRO,Draganfly Inc,航空機関連製品を製造する会社。
DPZ,Domino's Pizza,宅配ピザチェーンを展開
DRCT,Direct Digital Holdings Inc A,デジタル広告サービスを提供する会社。
DRI,Darden Restaurants,北米でカジュアルレストランを運営
DRIO,DarioHealth Corp,スマートフォン・モバイルを利用した健康管理機器の製造・販売をしている会社
DRMA,Dermata Therapeutics Inc,皮膚疾患の治療薬を開発する製薬会社。
DRQ,Dril Quip Inc,世界各地のオフショア地域で石油・ガス企業が使用する海中、海上、オフショアリグ機器用の製品を提供する海洋掘削・生産機器メーカー。設備の設営・修理のほかリースも手掛ける。
DRRX,Durect Corp,米国の医薬品会社
DRTS,Alpha Tau Medical Ltd A,医療機器の開発・製造。
DRUG,Bright Minds Biosciences Inc,精神疾患の治療薬を開発する製薬会社。
DRVN,Driven Brands Holdings Inc ,自動車のメンテナンスサービス等を提供している会社
DSGN,Design Therapeutics Inc,バイオ医薬品企業。
DSGR,Distribution Solutions Group Inc,OEM市場向けに製品と特殊な部品を製造・販売している企業
DSGX,Descartes Systems Group Inc,カナダの物流ソリューション会社
DSP,Viant Technology Inc A,広告ソフトウェアを提供する企業
DSS,DSS Inc,製品パッケージング、バイオテクノロジー等様々なビジネスを展開する会社。
DSWL,Deswell Industries Inc,電子製品のOEMメーカー。
DSX,Diana Shipping Inc,海運サービスを提供
DT,Dynatrace Inc,クラウドサービスのためのプラットフォームを提供する会社。
DTC,Solo Brands Inc,アウトドア製品のデザインと販売を行う企業。
DTE,DTE Energy,総合エネルギー会社
DTIL,Precision BioSciences Inc,米国のゲノム編集プラットホーム運用会社
DTM,DT Midstream Inc,天然ガスのパイプラインを所有、運営、開発。
DTSS,Datasea Inc,中国のテクノロジー企業
DTST,Data Storage Corp,サービスとしてのディザスタリカバリ、インフラストラクチャ（IaaS）、サイバーセキュリティ（CSaaS）、データ分析を提供。
DUET,DUET Acquisition Corp A,ブランクチェックカンパニー。
DUK,Duke Energy,多角化多国籍化したエネルギー企業。天然ガスと電力を供給する
DUOL,Duolingo Inc,外国語の学習アプリ等、モバイル学習プラットフォームを設計・開発。
DUOT,Duos Technologies Group  Inc,ビデオ、センサーに関するAIテクノロジーを提供する米国の企業
DV,DoubleVerify Holdings Inc ,デジタルメディアの測定と分析のためのソフトウェアプラットフォームを提供。
DVA,DaVita,人工透析サービス会社
DVAX,Dynavax Technologies Corp,米国の臨床検査段階のバイオ医薬品会社
DVN,Devon Energy,独立系エネルギー会社
DWSN,Dawson Geophysical Company,石油、天然ガス開発者向けに地震データを提供する会社。
DXC,DXC Technology,ITサービスを提供する会社
DXCM,DexCom,医療機器メーカー。糖尿病患者向け血糖値モニタリング・システムの設計・開発。
DXLG,Destination XL Group Inc,大型の紳士服を販売する会社。
DXPE,DXP Enterprises Inc TX,工業顧客向けに保守・修理・点検（MRO）製品、機器及びサービスを提供している会社
DXR,Daxor Corp,医療機器製造会社
DXYN,"The Dixie Group, Inc.",米国および英国の様々な大都市の自宅、職場等に、医療輸送およびモバイルサービスの対面医療を直接提供。
DY,Dycom Industries Inc,信およびインフラ産業向けに特殊請負サービスを提供しているエンジニアリング会社。
DYAI,Dyadic International Inc,バイオテクノロ ジー会社
DYN,Dyne Therapeutics Inc,筋肉などに関する疾患の治療方法を開発する米国の企業
DYNT,Dynatronics Corporation,美容医療機器を製造する会社。
DZSI,DZS Inc,世界中の電気通信・無線・有線事業者向けの通信ネットワーク装置を設計・開発・製造している企業
EA,Electronic Arts,大手ゲームソフトメーカー
EAF,GrafTech International,天然、合成グラファイトやカーボンベースの製品とサービスを手掛ける電極メーカー｡黒鉛電極、石油ニードルコーク等を提供する会社。
EAR,Eargo  Inc,補聴器関連のシステムやデバイスを提供する企業
EAST,Eastside Distilling Inc,アルコール飲料を製造する会社。
EAT,Brinker International,世界でフランチャイズレストランを所有・運営
EB,Eventbrite Inc A,オンラインチケットサービスを提供している。
EBAY,eBay,インターネット競売最大手
EBC,Eastern Bankshares Inc ,完全所有子会社であるEastern Insurance Group LLCとともに、銀行、信託、投資及び保険サービスを提供。
EBF,Ennis,印刷・アパレル販売会社。
EBMT,Eagle Bancorp Montana Inc,米国の貯蓄貸付持株会社
EBON,Ebang International Holdings Inc,特定用途向け集積回路（ASIC）チップの設計とビットコインマイニングマシンの製造・販売を行う中国を拠点とする会社
EBS,Emergent BioSolutions,米国の製薬メーカー。
EBTC,Enterprise Bancorp,商業および消費者ローン、預金、投資管理、信託、保険アービスなどの業務を手掛ける。
ECL,Ecolab,ホテル・接客業、産業向けクリーニング、殺菌・害虫駆除、メンテナンスなどの関連製品およびサー ビスを提供
ECOR,electroCore Inc,米国のバイオエレクトロニクス企業
ECPG,Encore Capital Group,債務不履行となった受取債権のポートフォリオを銀行や信用組合、公益事業体から買い取る債権買取会社。
ECVT,Ecovyst Inc,化学品メーカー持株会社。
ECX,ECARX Holdings Inc A,自動車用コンピューティング プラットフォームを開発
ED,Consolidated Edison,米国電力大手。ニューヨーク市に電力を供給するほか、マンハッタンにガスを供給している
EDBL,Edible Garden AG Incorporated,有機ハーブおよびレタスを持続可能な方法で栽培する農業会社。
EDIT,Editas Medicine,ゲノム編集会社
EDR,Endeavor Group Holdings  Inc A,エンターテインメント、スポーツ、コンテンツ事業を運営している企業
EDRY,EuroDry Ltd,ギリシャの海運会社。
EDSA,Edesa Biotech Inc,米国のバイオ医薬品企業
EDTK,Skillful Craftsman Education,オンライン教育とテクノロジーサービスを提供。
EDUC,Educational Development,ホーム事業部門と出版部門の2部門で構成され本を販売している米国の取引出版社。
EE,"Excelerate Energy, Inc",液化天然ガスの供給会社。FSRU（浮体式LNG貯蔵再ガス化設備）などを手掛ける。
EEFT,Euronet Worldwide Inc,電子金融取引ソリューションを提供している企業。
EEIQ,EpicQuest Education Group International,留学希望者向けにサポートシステムを提供する企業
EEX,Emerald Holding Inc,米国のビジネス・サービス企業。
EFOI,Energy Focus Inc,高エネルギー効率の照明システムおよびソリューションの設計、開発、製造、商品化、設置に従事
EFSC,Enterprise Financial Services Corp,金融持株会社
EFTR,eFFECTOR Therapeutics Inc,癌等の治療薬を開発する製薬会社。
EFX,Equifax,財務、法務、広告宣伝、税務 などの集中管理サービスを提供する会社
EFXT,Enerflex Ltd,石油・天然ガス処理、冷却システム、発電機器など油田サービスを提供。
EG,Everest Group Ltd,バミューダの再保険会社
EGAN,eGain Corp,米国の顧客エンゲージメントソリューション会社
EGBN,Eagle Bancorp Inc,不動産・商業・消費者ローンをはじめ、従来の当座預金や貯蓄用商品などを提供するEagleBankの持株会社。メリーランド州モントゴメリー郡を中心に事業を展開。
EGGF,EG Acquisition Corp,金融サービスや資産管理、クリーンエネルギー等に焦点を当てるブランクチェックカンパニー。
EGHT,8X8 Inc,VolP（インターネットプロトコルを使った音声伝送システム）作成用プラットフォーム、インターネット用PBXソリューション、音声・画像用半導体および関連ソフトウエアを手掛ける。
EGIO,Edgio Inc,コンテンツ配信サービス会社。ビデオ、音楽、ゲーム、ダウンロードをインターネットで配信。
EGO,Eldorado Gold,カナダの鉱山会社
EGOX,Next.e.GO NV,都市環境向けのバッテリー電気自動車の設計および製造を行う
EGRX,Eagle Pharmaceuticals,主に救命救急診療と腫瘍学分野で使用される注射剤製品を開発・販売する特殊医薬品メーカー。
EGY,VAALCO Energy,原油および天然ガス田の 買収、探査、開発を手掛けている石油ガス会社。フィリピンとガボンに生産用の油田を保有し、探査活動も展開している。
EHAB,Enhabit Inc,ヘルスケアサービスを提供
EHC,Encompass Health Corporation,入院専門のリハビリ病院、外来リハビリ施設、在宅看護会社を運営。
EHTH,eHealth Inc,インターネットを通じて健康保険を販売する。個人、家族、中小企業を対象にサービスを提供する保険会社。短期、歯科、眼科、グループ、生命、傷害、重病、ペット、旅行などの保険サービスを提供する。
EIG,Employers Holdings Inc,危険産業危険産業に従事する特定の小企業を中心に労働者災害補償保険を提供している企業
EIX,Edison International,子会社を通じて、世界各地で発電所の建設、買収、所有、運営を行う会社
EJH,E-Home Household Service Holdings Ltd,主にオンラインアプリケーション（APP）プラットフォームまたはコールセンターを介した家庭用サービスを運営。
EKSO,Ekso Bionics Holdings,人体の強さや耐久性、移動性を支援・強化する外骨格ロボットを開発している会社
EL,Estee Lauder A,化粧品メーカー
ELA,Envela Corporation,宝飾品販売会社。宝石、ダイヤモンド、高級時計、貴金属製品の卸売・小売に従事する。
ELAN,Elanco Animal Health Inc,食品やコンパニオンアニマル用の動物用健康食品を開発、製造、販売している。
ELDN,Eledon Pharmaceuticals Inc,バイオ医薬品会社
ELEV,Elevation Oncology Inc,臨床段階のバイオ医薬品企業。
ELF,ELF Beauty Inc,化粧品メーカー。
ELLO,Ellomay Capital Ltd,太陽光発電等の再生可能エネルギーを製造する会社。
ELMD,Electromed  Inc,肺機能障害用の気道クリアランス治療機具メーカー。
ELSE,Electro-Sensors  Inc,監視システム・メーカー。工業用の生産監視システムおよび処理制御システムを製造する。
ELTK,Eltek Ltd,コンパクトな電子製品に利用される、カスタム製作された回路ソリューションを製作･提供。
ELTX,Elicio Therapeutics Inc,急性・慢性の臓器損傷を治療するための新しい治療薬を発見・開発しているバイオ医薬品企業
ELUT,Elutia Inc,米国の再生医療企業。埋め込み型医療機器を使用する患者向けの製品を提供
ELYM,Eliem Therapeutics Inc,神経系の治療薬を開発する製薬会社。
EMBC,Embecta Corp,医療用品および医療機器を提供。
EME,EMCOR Group Inc,世界各地で機械設備・電力設備の建設および管理サービスを手掛けるエンジニアリング会社。
EMKR,EMCORE,航空宇宙、防衛関連ビジネスを展開する会社。
EML,The Eastern Company,産業用ハードウェア、セキュリティ製品や金属製品の製造及び販売を行っている会社
EMLD,FTAC Emerald Acquisition Corp A,ブランクチェックカンパニー。
EMN,Eastman Chemical,世界的な化学品メーカー
EMR,Emerson Electric,産業用自動機器などの電子製品を製造販売
EMX,EMX Royalty Corporation,カナダの貴金属ロイヤリティ企業。
ENB,Enbridge,カナダでエネルギーの輸送、配給や関連サービスを提供
ENFN,Enfusion Inc,ポートフォリオ構築、トレーディング、リスク管理、会計、運用等の投資管理を顧客が管理できるソフトウェアを提供。
ENG,ENGlobal Corp,エネルギー業界向けに工学・専門サービスを提供。
ENLV,Enlivex Therapeutics Ltd,開発途上にあるバイオ医薬品企業
ENPH,Enphase Energy Inc,太陽光発電のソリューション会社。
ENR,Energizer Holdings,乾電池・懐中電灯メーカー
ENS,EnerSys,産業用バッテリーメーカー。
ENSC,Ensysce Biosciences Inc,オピオイドによる製薬を開発する会社。
ENSG,Ensign Group Inc,看護・リハビリサービス会社。
ENSV,Enservco Corporation,石油、天然ガスの管理会社。
ENTA,Enanta Pharmaceuticals Inc,研究開発に焦点を当てるバイオテクノロジー企業
ENTG,Entegris Inc,先端材料の加工ソリューションを提供する会社。
ENTX,Entera Bio Ltd,高分子と生物製剤の経口送達を専門とするイスラエルのバイオテクノロジー企業。
ENV,Envestnet Inc,コンピューターソフトウエア会社。
ENVA,Enova International Inc,ノンプライム層の消費者および小規模企業向けにオンライン金融サービスを提供する金融会社。
ENVB,Enveric Biosciences Inc,癌等の治療薬を開発する製薬会社。
ENVX,Enovix Corporation ,先進的なシリコンアノード型リチウムイオン電池の開発・生産に注力。
ENZ,Enzo Biochem Inc,米国のヘルスケア製品メーカー
EOG,EOG Resources,石油・天然ガス会社
EOLS,Evolus Inc,美容医療のための麻酔を開発・製造・販売している会社。
EOSE,Eos Energy Enterprises  Inc,電力業界向けの電力システムを設計、製造、販売している企業
EPAC,Enerpac Tool Group A,業務用の多様な電動および産業用工具のブランド品を油圧・電動機器の卸売り業者、通販、小売り業者に提供している工業製品・システムメーカー。
EPAM,EPAM Systems,ITサービス会社。
EPC,Edgewell Personal Care,消費者用製品メーカー
EPIX,ESSA Pharma Inc,進行前立腺がんの治療として自社の「EPI-506」と呼ばれる小分子化合物の開発に従事する開発段階の製薬会社
EPM,Evolution Petroleum Corp,石油会社
EPOW,Sunrise New Energy Co Ltd,中小企業向けサービスを提供する会社。
EPSN,Epsilon Energy Ltd,独立系エネルギー会社。
EQ,Equillium Inc,自己免疫疾患および炎症性疾患の治療薬開発するバイオテクノロジー企業
EQBK,Equity Bancshares Inc A,子会社を通じて、譲渡性預金、個人退職年金・マネーマーケット口座、ホームエクイティ・ローン、デビットカード、住宅ローン、財務管理、個人・法人ローン、投資サービスなどの銀行商品・サービスを提供
EQH,Equitable Holdings,子会社を通じて、保険、ポートフォリオ構築、退職計画、資産配分、仲介、財務計画、不動産などの金融サービスを提供している。
EQT,EQT,総合エネルギー会社
EQX,Equinox Gold Corp,金鉱山を開発する会社。
ERAS,Erasca Inc,臨床段階にあるプレシジョン・オンコロジー企業。
ERF,Enerplus Corp,北米の原油天然ガス探査開発会社
ERIE,Erie Indemnity Company A,エリー・インシュアランス・エクスチェンジの管理に従事する保険会社。
